Mach,Deployment Level,CD
0.01,0,0.465610126
0.02,0,0.507940045
0.03,0,0.515257221
0.04,0,0.515821211
0.05,0,0.514438695
0.06,0,0.512436377
0.07,0,0.510271965
0.08,0,0.508121682
0.09,0,0.506055416
0.1,0,0.504098923
0.11,0,0.502258574
0.12,0,0.50053217
0.13,0,0.498913806
0.14,0,0.497396234
0.15,0,0.49597195
0.16,0,0.494633724
0.17,0,0.493374825
0.18,0,0.492189117
0.19,0,0.491071036
0.2,0,0.49001557
0.21,0,0.489018281
0.22,0,0.488075128
0.23,0,0.487182534
0.24,0,0.486337274
0.25,0,0.485536454
0.26,0,0.485015398
0.27,0,0.48453386
0.28,0,0.484089766
0.29,0,0.483681239
0.3,0,0.483306595
0.31,0,0.482964281
0.32,0,0.482652968
0.33,0,0.482371401
0.34,0,0.482118515
0.35,0,0.481893268
0.36,0,0.481694783
0.37,0,0.481522345
0.38,0,0.481375208
0.39,0,0.48125277
0.4,0,0.481154507
0.41,0,0.481079976
0.42,0,0.481028785
0.43,0,0.481000615
0.44,0,0.480995268
0.45,0,0.48101251
0.46,0,0.481052248
0.47,0,0.481114441
0.48,0,0.481199084
0.49,0,0.48130625
0.5,0,0.481436089
0.51,0,0.481588808
0.52,0,0.481764646
0.53,0,0.481963972
0.54,0,0.482187179
0.55,0,0.482434793
0.56,0,0.482707333
0.57,0,0.483005516
0.58,0,0.483330089
0.59,0,0.483681884
0.6,0,0.484061889
0.61,0,0.484901656
0.62,0,0.485756499
0.63,0,0.48664324
0.64,0,0.487563434
0.65,0,0.488518771
0.66,0,0.489511217
0.67,0,0.490542909
0.68,0,0.491616279
0.69,0,0.492734061
0.7,0,0.493899296
0.71,0,0.494055186
0.72,0,0.49415058
0.73,0,0.494250511
0.74,0,0.494354843
0.75,0,0.494463425
0.76,0,0.49457616
0.77,0,0.494692926
0.78,0,0.494813639
0.79,0,0.49493816
0.8,0,0.495066376
0.81,0,0.497785878
0.82,0,0.500508906
0.83,0,0.503235383
0.84,0,0.505965226
0.85,0,0.508698322
0.86,0,0.51143463
0.87,0,0.514174027
0.88,0,0.51691648
0.89,0,0.519661895
0.9,0,0.522410223
0.91,0,0.525962613
0.92,0,0.536619782
0.93,0,0.553725178
0.94,0,0.571950219
0.95,0,0.59017526
0.96,0,0.6084003
0.97,0,0.626625341
0.98,0,0.644850382
0.99,0,0.663075422
1,0,0.681300463
1.01,0,0.699525504
1.02,0,0.717750545
1.03,0,0.735975585
1.04,0,0.754200626
1.05,0,0.772425667
1.06,0,0.773765587
1.07,0,0.775344634
1.08,0,0.777145382
1.09,0,0.779155311
1.1,0,0.781364977
1.11,0,0.783767007
1.12,0,0.78635549
1.13,0,0.789125615
1.14,0,0.792073384
1.15,0,0.795195487
1.16,0,0.797968572
1.17,0,0.800893883
1.18,0,0.803988588
1.19,0,0.806879139
1.2,0,0.808967727
1.21,0,0.811233255
1.22,0,0.813674611
1.23,0,0.816290864
1.24,0,0.819081209
1.25,0,0.822044987
1.26,0,0.825181647
1.27,0,0.828490788
1.28,0,0.831972063
1.29,0,0.82919333
1.3,0,0.825863894
1.31,0,0.822624387
1.32,0,0.819468608
1.33,0,0.816390983
1.34,0,0.813386464
1.35,0,0.810450534
1.36,0,0.807579072
1.37,0,0.804768318
1.38,0,0.802014876
1.39,0,0.799315666
1.4,0,0.796667764
1.41,0,0.794068619
1.42,0,0.79151578
1.43,0,0.789007054
1.44,0,0.786540374
1.45,0,0.784113892
1.46,0,0.781725798
1.47,0,0.779374483
1.48,0,0.777058483
1.49,0,0.774776349
1.5,0,0.772526788
1.51,0,0.770308574
1.52,0,0.768120607
1.53,0,0.765961796
1.54,0,0.763831142
1.55,0,0.761727772
1.56,0,0.759650763
1.57,0,0.757599345
1.58,0,0.755572718
