Mach,CD Power-Off
0.01,0.393460356
0.02,0.399564143
0.03,0.390292172
0.04,0.3806076
0.05,0.372069313
0.06,0.36469484
0.07,0.358294059
0.08,0.352683807
0.09,0.347717201
0.1,0.343281769
0.11,0.33714355
0.12,0.340374323
0.13,0.342819076
0.14,0.344671492
0.15,0.346075951
0.16,0.347120215
0.17,0.347886628
0.18,0.348433409
0.19,0.348802016
0.2,0.349027158
0.21,0.349133911
0.22,0.349145925
0.23,0.349079074
0.24,0.348944822
0.25,0.34834076
0.26,0.348206126
0.27,0.348045444
0.28,0.348464251
0.29,0.348306864
0.3,0.347926872
0.31,0.347487821
0.32,0.346995893
0.33,0.34753501
0.34,0.347306304
0.35,0.346276708
0.36,0.346843518
0.37,0.346612655
0.38,0.346379845
0.39,0.345297489
0.4,0.34589838
0.41,0.345399389
0.42,0.34488208
0.43,0.345190614
0.44,0.344955731
0.45,0.344723276
0.46,0.344493657
0.47,0.344267189
0.48,0.344044165
0.49,0.343824866
0.5,0.343608592
0.51,0.343396466
0.52,0.343188697
0.53,0.34298654
0.54,0.342789104
0.55,0.342596546
0.56,0.341769964
0.57,0.341909279
0.58,0.342054025
0.59,0.341888938
0.6,0.341729616
0.61,0.341891489
0.62,0.341808925
0.63,0.342205108
0.64,0.342369023
0.65,0.342539143
0.66,0.342715724
0.67,0.342898047
0.68,0.343087279
0.69,0.343283712
0.7,0.343376721
0.71,0.343352992
0.72,0.343646641
0.73,0.343684579
0.74,0.343795329
0.75,0.343908707
0.76,0.344024637
0.77,0.344143095
0.78,0.344264031
0.79,0.344387377
0.8,0.34451309
0.81,0.344940492
0.82,0.345370167
0.83,0.345802076
0.84,0.346236192
0.85,0.346672445
0.86,0.34711082
0.87,0.347551253
0.88,0.347993727
0.89,0.348438188
0.9,0.348884602
0.91,0.351257017
0.92,0.358374263
0.93,0.371076322
0.94,0.385804571
0.95,0.40053282
0.96,0.415261069
0.97,0.429989319
0.98,0.444717568
0.99,0.459445817
1,0.474174066
1.01,0.488902315
