Mach,CD Power-On
0.01,0.380300487
0.02,0.386404274
0.03,0.377132302
0.04,0.367447731
0.05,0.358909444
0.06,0.351534971
0.07,0.34513419
0.08,0.339523938
0.09,0.334557332
0.1,0.3301219
0.11,0.323983681
0.12,0.327214454
0.13,0.329659207
0.14,0.331511623
0.15,0.332916081
0.16,0.333960346
0.17,0.334726758
0.18,0.33527354
0.19,0.335642147
0.2,0.335867289
0.21,0.335974042
0.22,0.335986056
0.23,0.335919205
0.24,0.335784953
0.25,0.335180891
0.26,0.335046257
0.27,0.334885575
0.28,0.335304382
0.29,0.335146995
0.3,0.334767003
0.31,0.334327952
0.32,0.333836024
0.33,0.334375141
0.34,0.334146435
0.35,0.333116839
0.36,0.333683649
0.37,0.333452786
0.38,0.333219976
0.39,0.33213762
0.4,0.332738511
0.41,0.33223952
0.42,0.331722211
0.43,0.332030745
0.44,0.331795862
0.45,0.331563407
0.46,0.331333788
0.47,0.33110732
0.48,0.330884296
0.49,0.330664997
0.5,0.330448723
0.51,0.330236597
0.52,0.330028828
0.53,0.329826671
0.54,0.329629235
0.55,0.329436677
0.56,0.328610095
0.57,0.32874941
0.58,0.328894156
0.59,0.32846129
0.6,0.32803419
0.61,0.327928283
0.62,0.327577941
0.63,0.327706345
0.64,0.32760248
0.65,0.327504822
0.66,0.327413623
0.67,0.327328168
0.68,0.327249621
0.69,0.327178275
0.7,0.327003505
0.71,0.326711997
0.72,0.326737867
0.73,0.326508026
0.74,0.326350997
0.75,0.326196597
0.76,0.326044747
0.77,0.325895427
0.78,0.325748583
0.79,0.325604151
0.8,0.325462084
0.81,0.325621708
0.82,0.325783604
0.83,0.325947734
0.84,0.326114071
0.85,0.326282546
0.86,0.326453141
0.87,0.326625796
0.88,0.326800491
0.89,0.326977173
0.9,0.327155808
0.91,0.329380467
0.92,0.336054446
0.93,0.347815758
0.94,0.361327413
0.95,0.374839069
0.96,0.388350725
0.97,0.401862381
0.98,0.415374037
0.99,0.428885692
1,0.442397348
1.01,0.455909004
1.02,0.46942066
1.03,0.482932315
1.04,0.496443971
1.05,0.509955627
1.06,0.508166887
1.07,0.506402642
1.08,0.504662272
1.09,0.502945141
1.1,0.501250684
1.11,0.499595633
1.12,0.497978255
1.13,0.496392514
1.14,0.494836097
1.15,0.49330758
1.16,0.491566118
1.17,0.489842753
1.18,0.488145566
1.19,0.486227184
1.2,0.483587139
1.21,0.480923219
1.22,0.478291015
1.23,0.475690014
1.24,0.473119721
1.25,0.470579671
1.26,0.468069407
1.27,0.465588524
1.28,0.463136616
1.29,0.460713295
1.3,0.458318201
1.31,0.455950976
1.32,0.453611243
1.33,0.451298729
1.34,0.449013066
1.35,0.446753984
1.36,0.444521165
1.37,0.442314322
1.38,0.440133172
1.39,0.437977459
1.4,0.435846906
1.41,0.433741276
1.42,0.431660309
1.43,0.429603761
1.44,0.427571406
1.45,0.425563017
1.46,0.423578384
1.47,0.42161728
1.48,0.419679512
1.49,0.41776485
1.5,0.415706485
1.51,0.413511193
1.52,0.411334984
1.53,0.409177505
1.54,0.407038499
1.55,0.404917705
1.56,0.402814841
1.57,0.400729633
1.58,0.39866188
1.59,0.396611299
1.6,0.394577651
1.61,0.392560728
1.62,0.39056029
1.63,0.388576126
1.64,0.386608031
1.65,0.384655759
1.66,0.38271916
1.67,0.380797984
1.68,0.37889207
1.69,0.377001244
1.7,0.375125302
1.71,0.373264059
1.72,0.371417335
1.73,0.369584963
1.74,0.36776678
1.75,0.365962621
1.76,0.364172292
1.77,0.362395675
1.78,0.360632586
1.79,0.358882889
1.8,0.357146422
1.81,0.355430927
1.82,0.353725868
1.83,0.352032725
1.84,0.350351349
1.85,0.348681594
1.86,0.347023349
1.87,0.345376459
1.88,0.343740788
1.89,0.342116222
1.9,0.340502631
1.91,0.338899872
1.92,0.337307832
1.93,0.335726374
1.94,0.334155386
1.95,0.332594751
1.96,0.331044356
1.97,0.329504074
1.98,0.32788257
1.99,0.326270962
2,0.324669121
2.01,0.323249201
2.02,0.32183341
2.03,0.320427283
2.04,0.319030703
2.05,0.317643594
2.06,0.316265841
2.07,0.314897366
2.08,0.313538075
2.09,0.312187874
2.1,0.310846685
2.11,0.309514404
2.12,0.308190947
2.13,0.306876217
2.14,0.30557016
2.15,0.304272678
2.16,0.302983697
2.17,0.301703105
2.18,0.300430819
2.19,0.299166785
2.2,0.297910883
2.21,0.296663062
2.22,0.295423251
2.23,0.294191323
2.24,0.292967243
2.25,0.291750911
2.26,0.290542261
2.27,0.289341224
2.28,0.288147685
2.29,0.286961607
2.3,0.285782884
2.31,0.284611439
2.32,0.283447225
2.33,0.282290144
2.34,0.281140116
2.35,0.279997107
2.36,0.278860992
2.37,0.277731739
2.38,0.27660925
2.39,0.275493464
2.4,0.2743843
2.41,0.273281688
2.42,0.272185553
2.43,0.271095831
2.44,0.270012457
2.45,0.268935344
2.46,0.268141136
2.47,0.267353046
2.48,0.266571022
2.49,0.265795003
2.5,0.265024882
2.51,0.264260625
2.52,0.26350214
2.53,0.26274938
2.54,0.262002272
2.55,0.261260747
2.56,0.260524742
2.57,0.259794167
2.58,0.259068983
2.59,0.258349107
2.6,0.257634498
2.61,0.256925048
2.62,0.256220712
2.63,0.255521424
2.64,0.254827128
2.65,0.254137757
2.66,0.253453229
2.67,0.252773502
2.68,0.252098478
2.69,0.251428131
2.7,0.250762365
2.71,0.250101138
2.72,0.249444378
2.73,0.248792014
2.74,0.248144005
2.75,0.247500258
2.76,0.246860726
2.77,0.246225347
2.78,0.245594058
2.79,0.244966779
2.8,0.244343479
2.81,0.243724058
2.82,0.243108492
2.83,0.242496692
2.84,0.241888595
2.85,0.241284164
2.86,0.240683325
2.87,0.240085995
2.88,0.239492135
2.89,0.238901676
2.9,0.238314562
2.91,0.237730736
2.92,0.237150134
2.93,0.236572705
2.94,0.235998352
2.95,0.235427047
2.96,0.234858723
2.97,0.234293297
2.98,0.23373076
2.99,0.23317099
3,0.232613974
3.01,0.23199774
3.02,0.231442064
3.03,0.230889136
3.04,0.230338929
3.05,0.229791418
3.06,0.229246583
3.07,0.228704429
3.08,0.228164917
3.09,0.227628052
3.1,0.227093798
3.11,0.226562165
3.12,0.226033107
3.13,0.225506638
3.14,0.224982732
3.15,0.22446138
3.16,0.223942543
3.17,0.223426238
3.18,0.222912421
3.19,0.222401107
3.2,0.221892252
3.21,0.221385862
3.22,0.220881925
3.23,0.220380417
3.24,0.219881322
3.25,0.219384641
3.26,0.218890338
3.27,0.218398427
3.28,0.217908851
3.29,0.21742163
3.3,0.216936749
3.31,0.2164542
3.32,0.215973948
3.33,0.215495993
3.34,0.215020312
3.35,0.214546906
3.36,0.214075757
3.37,0.213606859
3.38,0.213140161
3.39,0.212675695
3.4,0.212213439
3.41,0.211753367
3.42,0.211295471
3.43,0.210839734
3.44,0.210386161
3.45,0.209934731
3.46,0.209485413
3.47,0.20903822
3.48,0.208593137
3.49,0.208150142
3.5,0.207709229
3.51,0.207270369
3.52,0.206833579
3.53,0.206398828
3.54,0.2059661
3.55,0.205535409
3.56,0.205106709
3.57,0.204680005
3.58,0.204255295
3.59,0.203832563
3.6,0.203411783
3.61,0.202992952
3.62,0.202576078
3.63,0.202161105
3.64,0.20174806
3.65,0.201336917
3.66,0.200927671
3.67,0.200520303
3.68,0.200114811
3.69,0.199711181
3.7,0.199309406
3.71,0.198909459
3.72,0.198511356
3.73,0.198115045
3.74,0.197720565
3.75,0.197327871
3.76,0.196936954
3.77,0.196547818
3.78,0.196160453
3.79,0.195774833
3.8,0.195390953
3.81,0.195008824
3.82,0.194628408
3.83,0.194249704
3.84,0.193872699
3.85,0.193497391
3.86,0.193090035
