# Simulation 1 (Data loaded from a file),
# 776 data points written for 2 variables.,
# Simulation warnings:,
#   Recovery device deployment at high speed (35.1 m/s),
#,
# Mach number (​),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds,
# Event LAUNCH occurred at t=0 seconds,
0.006,0.668
0.006,0.665
0.007,0.654
# Event LIFTOFF occurred at t=0.04 seconds,
0.008,0.631
0.011,0.602
0.014,0.577
0.017,0.558
0.021,0.543
0.024,0.531
0.028,0.521
0.031,0.513
0.035,0.506
0.038,0.504
0.04,0.504
0.043,0.504
0.046,0.504
# Event LAUNCHROD occurred at t=0.157 seconds,
0.048,0.504
0.051,0.504
0.057,0.504
0.065,0.505
0.077,0.505
0.095,0.505
0.113,0.506
0.131,0.507
0.149,0.508
0.166,0.508
0.184,0.509
0.201,0.511
0.218,0.512
0.235,0.513
0.252,0.514
0.269,0.516
0.285,0.517
0.302,0.519
0.318,0.521
0.334,0.522
0.35,0.524
0.365,0.526
0.381,0.528
0.396,0.53
0.41,0.532
0.425,0.535
0.439,0.537
0.453,0.539
0.467,0.541
0.481,0.544
0.494,0.546
0.507,0.549
0.52,0.551
0.532,0.554
0.544,0.556
0.556,0.559
0.568,0.561
0.579,0.564
0.591,0.567
0.601,0.569
0.612,0.572
0.622,0.575
0.632,0.578
0.642,0.58
0.651,0.583
0.66,0.586
0.669,0.588
0.678,0.591
0.686,0.594
0.694,0.596
0.702,0.599
0.709,0.602
0.716,0.604
0.723,0.607
0.73,0.609
0.736,0.612
0.743,0.614
0.749,0.617
0.754,0.619
0.76,0.622
0.764,0.624
0.766,0.625
0.767,0.625
0.767,0.625
0.766,0.624
0.764,0.624
0.761,0.622
0.757,0.621
0.753,0.619
0.749,0.617
0.744,0.615
0.739,0.613
0.734,0.611
0.728,0.609
0.722,0.606
0.716,0.604
0.71,0.602
0.704,0.6
